FID	IID	family
SH00732	SH00732	GS1-065
SH00734	SH00734	GS1-062
SH00735	SH00735	GS1-068
SH00738	SH00738	GS1-071
SH00739	SH00739	GS1-072
SH00740	SH00740	GS1-073
SH00741	SH00741	GS1-074
SH00742	SH00742	GS1-075
SH00743	SH00743	GS1-076
SH00744	SH00744	GS1-079-2
SH00745	SH00745	GS1-081
SH00746	SH00746	GS1-082
SH00747	SH00747	GS1-085
SH00748	SH00748	GS1-003
SH00749	SH00749	GS2-001
SH00750	SH00750	GS2-002
SH00751	SH00751	GS2-003
SH00755	SH00755	GS2-008
SH00756	SH00756	GS2-009
SH00757	SH00757	GS2-010
SH00758	SH00758	GS2-011
SH00759	SH00759	GS2-012
SH00762	SH00762	GS2-015-3
SH00763	SH00763	GS2-016-3
SH00764	SH00764	GS2-017
SH00765	SH00765	GS2-018-2
SH00766	SH00766	GS2-019
SH00767	SH00767	GS2-020
SH00768	SH00768	GS2-009
SH00769	SH00769	GS2-022
SH00770	SH00770	GS2-021
SH00771	SH00771	GS2-025
SH00772	SH00772	GS2-026
SH00774	SH00774	GS2-028
SH00775	SH00775	GS2-029
SH00776	SH00776	GS2-030
SH00777	SH00777	GS2-031
SH00778	SH00778	GS2-032
SH00779	SH00779	GS1-001
SH00822	SH00822	GS2-007
SH00828	SH00828	GS2-014
SH01028	SH01028	GS1-001
SH01032	SH01032	GS1-001
SH01033	SH01033	GS1-001
SH01034	SH01034	GS1-001
SH01035	SH01035	GS1-001
SH01036	SH01036	GS1-001
SH01039	SH01039	GS1-001
SH01040	SH01040	GS1-001
SH01041	SH01041	GS1-001
SH01042	SH01042	GS1-001
SH01044	SH01044	GS1-001
SH01045	SH01045	GS1-001
SH01046	SH01046	GS1-001
SH01047	SH01047	GS1-001
SH01048	SH01048	GS1-001
SH01049	SH01049	GS1-001
SH01050	SH01050	GS1-001
SH01052	SH01052	GS1-001
SH01053	SH01053	GS1-001
SH01054	SH01054	GS1-001
SH01056	SH01056	GS2-001
SH01057	SH01057	GS1-001
SH01058	SH01058	GS1-001
SH01059	SH01059	GS1-001
SH01060	SH01060	GS1-001
SH01061	SH01061	GS1-001
SH01062	SH01062	GS1-001
SH01063	SH01063	GS1-001
SH01064	SH01064	GS1-001
SH01065	SH01065	GS1-001
SH01067	SH01067	GS1-001
SH01069	SH01069	GS1-001
SH01070	SH01070	GS1-001
SH01073	SH01073	GS1-001
SH01075	SH01075	GS1-001
SH01077	SH01077	GS1-001
SH01078	SH01078	GS1-001
SH01079	SH01079	GS1-001
SH01080	SH01080	GS1-001
SH01082	SH01082	GS1-001
SH01083	SH01083	GS1-001
SH01084	SH01084	GS1-001
